record_id,redcap_event_name,stw_age,stw_n_correct_trials,phase_cog_online_paper
610400,phase_4_arm_1,76,44,1
610462,phase_4_arm_1,83,56,2
610471,phase_4_arm_1,84,55,2
610496,phase_4_arm_1,76,25,2
610506,phase_4_arm_1,76,58,2
610536,phase_4_arm_1,85,54,1
610553,phase_4_arm_1,83,58,2
610563,phase_4_arm_2,76,57,1
610567,phase_4_arm_1,75,57,1
610569,phase_4_arm_1,79,58,2
610579,phase_4_arm_1,80,50,2
610594,phase_4_arm_1,76,55,2
610686,phase_4_arm_1,81,50,2
612019,phase_4_arm_1,79,60,2
612069,phase_4_arm_2,80,59,2
620001,phase_4_arm_2,80,40,2
620017,phase_4_arm_2,75,59,2
620026,phase_4_arm_1,76,58,1
620035,phase_4_arm_1,78,51,2
620054,phase_4_arm_1,80,56,2
620073,phase_4_arm_1,75,58,1
620085,phase_4_arm_1,76,53,2
620100,phase_4_arm_1,81,60,2
620106,phase_4_arm_1,77,54,2
620107,phase_4_arm_1,83,52,2
620111,phase_4_arm_1,81,59,2
620118,phase_4_arm_1,78,55,2
620121,phase_4_arm_1,74,58,2
620139,phase_4_arm_2,80,51,2
620162,phase_4_arm_1,82,55,1
620164,phase_4_arm_1,78,56,1
620197,phase_4_arm_1,79,54,2
620198,phase_4_arm_1,75,56,1
620227,phase_4_arm_1,79,57,2
620230,phase_4_arm_1,77,53,2
620231,phase_4_arm_1,80,57,2
620235,phase_4_arm_1,,47,
620244,phase_4_arm_1,78,40,2
620259,phase_4_arm_1,75,54,2
620262,phase_4_arm_1,76,58,2
620264,phase_4_arm_1,82,59,1
620279,phase_4_arm_1,83,57,1
620285,phase_4_arm_1,78,57,2
620297,phase_4_arm_1,75,54,2
620314,phase_4_arm_1,80,43,2
620315,phase_4_arm_1,83,59,2
620321,phase_4_arm_2,76,60,2
620347,phase_4_arm_1,79,58,2
620359,phase_4_arm_1,75,50,2
620378,phase_4_arm_1,83,56,1
620394,phase_4_arm_1,76,55,2
620413,phase_4_arm_1,82,58,1
620436,phase_4_arm_1,84,54,2
620442,phase_4_arm_1,77,50,2
620457,phase_4_arm_1,83,60,1
620458,phase_4_arm_1,75,58,2
620472,phase_4_arm_1,79,54,1
620490,phase_4_arm_1,81,59,2
620496,phase_4_arm_1,76,51,1
620518,phase_4_arm_1,84,55,2
620557,phase_4_arm_1,80,59,1
620567,phase_4_arm_1,80,56,2
620572,phase_4_arm_1,83,59,1
620585,phase_4_arm_1,74,50,1
620592,phase_4_arm_1,80,55,2
620597,phase_4_arm_1,75,44,2
620608,phase_4_arm_2,75,43,2
620610,phase_4_arm_1,81,57,1
620652,phase_4_arm_1,83,52,1
620654,phase_4_arm_1,78,59,2
620661,phase_4_arm_1,76,55,2
620670,phase_4_arm_1,80,48,2
620701,phase_4_arm_1,74,53,2
620709,phase_4_arm_1,83,50,2
620731,phase_4_arm_1,76,55,2
620764,phase_4_arm_1,82,50,2
620785,phase_4_arm_1,74,59,1
620792,phase_4_arm_1,80,56,1
620793,phase_4_arm_1,76,58,1
620797,phase_4_arm_1,80,54,2
620809,phase_4_arm_1,74,52,2
620821,phase_4_arm_1,75,60,2
620822,phase_4_arm_1,82,55,2
620852,phase_4_arm_1,83,59,1
620885,phase_4_arm_1,83,55,1
620895,phase_4_arm_1,84,58,2
620918,phase_4_arm_2,75,39,2
620919,phase_4_arm_1,83,48,
620935,phase_4_arm_1,77,59,2
620967,phase_4_arm_2,75,58,2
620968,phase_4_arm_2,77,54,2
621020,phase_4_arm_2,84,57,1
621080,phase_4_arm_1,76,56,2
621120,phase_4_arm_2,81,58,2
